obj_id,frame,x,y,z,xvel,yvel,zvel,P00,P01,P02,P11,P12,P22,P33,P44,P55,power
160,40083,-0.01281395501987166,0.03144704641045638,0.0482898643991924,-0.0013385490640394652,0.0001382614243752361,-0.00012603403690913256,5.840878254995448e-08,5.506855489716901e-11,3.183438065157878e-09,5.809575629783696e-08,-4.347296989036156e-09,2.513193432921442e-07,0.0009443620980276724,0.0009424816603924016,0.001580667665769486,1.81875621e-05
168,40083,0.019923484670730556,0.021667137230394838,0.03645476231828689,0.011217678207137984,0.004371915344550687,-0.010255587319686364,5.99666274242374e-08,-1.0525192094832653e-10,-3.606495113615021e-09,5.973029789038384e-08,-2.6750121181589617e-09,2.6499354814304274e-07,0.0009531597492864896,0.0009519061378876432,0.0016112020084936623,1.81852138e-05
184,40083,0.0076452069042436364,-0.012185761186124335,0.035447153171737474,0.0009390742715329648,-0.0007200886179818148,0.0027998777885439342,6.044758777923909e-08,-5.827448990782953e-11,-1.1567359348247408e-09,6.06194885893266e-08,4.232205705290196e-09,2.66976918770054e-07,0.0009558750557830508,0.0009566383831433013,0.0016149726317912132,1.81805226e-05
223,40083,-0.023568420389989832,-0.003093956267609188,0.04446645742104376,2.838619176376983e-05,-0.000568001111454418,1.463073860449686e-05,5.9244122287097566e-08,1.4415616645459693e-10,5.311325036744118e-09,5.929030631206809e-08,2.382585176911929e-09,2.561563693295237e-07,0.0009488483565839703,0.0009493753584745489,0.001591334506988703,1.81828673e-05
160,40084,-0.012825876461560927,0.03145454963555734,0.04826057665459086,-0.0012275406744036107,0.0005491474135936648,-0.001470820264016441,5.8409578221558464e-08,5.519915829226573e-11,3.189102862522024e-09,5.8096637808443715e-08,-4.345050667035054e-09,2.513275509557617e-07,0.0009443602337005255,0.0009424804620753559,0.0015806595931067825,1.81828673e-05
168,40084,0.019975289277948102,0.02163517310880341,0.03638500007640223,0.007072388994910249,-0.0008341173516018523,-0.008745549405518829,6.001214875828757e-08,-1.061393536694036e-10,-3.6620032598511704e-09,5.977360705727333e-08,-2.700251248459554e-09,2.654142791744382e-07,0.000953245722084214,0.0009519889057840949,0.001611700632204145,1.81711366e-05
184,40084,0.007645512216040606,-0.012191859980675797,0.035411962551802324,0.0003074637066242419,-0.00061683972422825,-0.00018985940155793828,6.04505280271361e-08,-5.849652595884748e-11,-1.1631378458574897e-09,6.062268659838539e-08,4.2373984428759125e-09,2.670011298044249e-07,0.000955885539351235,0.0009566496836843874,0.0016149270222221277,1.81734831e-05
223,40084,-0.02358820916274138,-0.0030963061949667425,0.04448917266072502,-0.0013701667097903952,-0.00034344589865846226,0.0011045671213071925,5.924363246115839e-08,1.4418686047480934e-10,5.3118909813676134e-09,5.929002434923717e-08,2.3855874460409786e-09,2.5615664647886933e-07,0.0009488431331571769,0.0009493712584510499,0.0015913014617688077,1.81805226e-05
160,40085,-0.012808371139459443,0.03145563180347275,0.04827988972386402,0.000822589567618152,0.000258936698966893,0.00015192213583770965,5.841410215116897e-08,5.5245020567978744e-11,3.192502836978002e-09,5.81009750730076e-08,-4.346820528687656e-09,2.5136553196468566e-07,0.0009443836917612947,0.0009425029030646521,0.0015807382521349066,1.81781761e-05
168,40085,0.019993622950258593,0.02167182273327945,0.03627896287889053,0.003461953230200158,0.002257167845695898,-0.009633110976236514,6.002381004374174e-08,-1.0626665660878417e-10,-3.6729172441218024e-09,5.978557692925957e-08,-2.691587068562406e-09,2.655816319299784e-07,0.000953320800466773,0.0009520675942027779,0.001611638890450302,1.81875621e-05
