current,laplacian,sobel,variance_intensity,entropy,composite_score
10.0,203.86868904829745,73.63973907611829,7041.39978396182,5.267451442670729,0.7000129521100517
11.0,203.00381686106027,73.4270891651238,7043.984912448483,5.256497789308358,0.681841273957092
12.0,202.54965664806187,73.29784995627762,7045.565228379152,5.248353384657079,0.6710124875940324
13.0,201.99044221939036,73.21211375718339,7047.780444611547,5.241682365565868,0.6618810009671487
14.0,201.54572421170363,73.1654533253718,7049.245709797903,5.235969439812049,0.6548396815744292
15.0,201.15678383502208,73.0912585320953,7050.562650975975,5.230394107404367,0.6473397610943331
16.0,200.96558107065903,73.04076570811505,7051.819363824903,5.224985792175388,0.6428519267089661
17.0,200.62341957331964,73.00487241122123,7052.931072735084,5.221928500070776,0.6379472803070153
18.0,200.07863579245674,73.02169754422935,7054.2371934848925,5.218268476242791,0.6326106404743193
19.0,200.07318519120338,72.972336526024,7055.054364129743,5.213544907364451,0.6299633112882345
20.0,199.8633142654346,72.93966624160026,7055.650147568743,5.2093743500688765,0.6255691375055354
21.0,199.42375402650723,72.92940059746239,7056.8291047581,5.2052324535102645,0.6201188821473452
22.0,199.40026748592467,72.86137032249194,7058.658073555192,5.199324459905743,0.6173900278621214
23.0,199.08749784848803,72.85921908057368,7059.2955171255535,5.197562122077818,0.6139149849823797
24.0,198.84816638328536,72.81960649105933,7060.134954235552,5.192674264896618,0.608965485228852
25.0,198.7853203981757,72.86137265510577,7060.522663439719,5.189919452088586,0.6090901307241006
26.0,198.489986199395,72.81800985424307,7062.382070371693,5.186384021120507,0.6051709858474718
27.0,198.33854295545507,72.85579153184132,7062.763427646038,5.182807105015654,0.603837940109042
28.0,198.04895112828186,72.87833526763625,7063.847635411794,5.18061700721262,0.601850589987184
29.0,198.01196272887995,72.88583893146625,7064.07471560882,5.177426026019144,0.6007080743821038
30.0,197.72075050338012,72.94761507531884,7064.877649974066,5.175385068942805,0.5997756948946625
31.0,197.61384489665124,72.924040973113,7066.187679505985,5.172252576970165,0.5981261334812381
32.0,197.29975495937143,72.93123823035856,7066.101964438673,5.168631404791886,0.5933380601744965
33.0,197.37775519604443,72.97463397065259,7066.929458553276,5.16525693766844,0.595376449197899
34.0,197.01052216835467,72.97391863242974,7068.252607546116,5.161077159464626,0.591222061415782
35.0,196.87992809781062,72.95396477901726,7068.7345695890735,5.1588200940523485,0.5887709216034551
36.0,196.58230372408985,72.99788747501547,7069.539080544221,5.155984127642477,0.5868356099612665
